date,daily_return,daily_return_norm
2020-01-02,0.8378802677341699,0.2001720403281537
2020-01-03,-0.7059870562045301,0.055661377722422314
2020-01-06,0.35333728907271,0.15481734836622799
2020-01-07,-0.28032386528962,0.09550474302472856
2020-01-08,0.49024513689781,0.16763233803428795
2020-01-09,0.66552626054889,0.18403918266940406
2020-01-10,-0.28551786896625,0.09501856853210991
2020-01-13,0.6976215252569801,0.18704339676057333
2020-01-14,-0.1514532772802199,0.1075674208046542
2020-01-15,0.18701968845122,0.139249516664544
2020-01-16,0.83665530264682,0.20005737988182065
2020-01-17,0.38621622485013,0.15789491644561748
2020-01-21,-0.26519776473655,0.09692059189961015
2020-01-22,0.0289076071117999,0.1244497464472179
2020-01-23,0.11409766124783,0.13242379381497257
2020-01-24,-0.90421609742074,0.03710653842394465
2020-01-27,-1.57307116591823,-0.02550032399036209
2020-01-28,1.0053584595046,0.21584850688035048
2020-01-29,-0.08668741908683,0.11362970150496601
2020-01-30,0.3134358792605299,0.15108245542468274
2020-01-31,-1.77058203755262,-0.04398794043845433
2020-02-03,0.72546138923517,0.18964929244083023
2020-02-04,1.49804141640821,0.2619651254865738
2020-02-05,1.12505958978537,0.22705289561460928
2020-02-06,0.33256728767856,0.1528732132600239
2020-02-07,-0.5400853672730099,0.0711902788288595
2020-02-10,0.73263978048905,0.1903212116274446
2020-02-11,0.16884725532351,0.13754852182403915
2020-02-12,0.64626464661976,0.18223623720343415
2020-02-13,-0.16304457368023,0.10648244031620688
2020-02-14,0.18435333204338,0.1389999376202405
2020-02-18,-0.29199426368901,0.09441235834929794
2020-02-19,0.47057858811645,0.16579148943836602
2020-02-20,-0.3815519763628099,0.08602948489944287
2020-02-21,-1.05181030271228,0.023291273295440854
2020-02-24,-3.3513626671223102,-0.19195380037428617
2020-02-25,-3.02799955650561,-0.16168603276699323
2020-02-26,-0.3778540605322,0.0863756210334588
2020-02-27,-4.416324258407911,-0.291637434336894
2020-02-28,-0.8238340444361799,0.044630542305815146
2020-03-02,4.603922900611,0.5526850496002335
2020-03-03,-2.81078961210758,-0.1413545233796233
2020-03-04,4.22025907744911,0.5167729524638514
2020-03-05,-3.3922077046888504,-0.1957770197347673
2020-03-06,-1.7053852000370102,-0.037885318766831294
2020-03-09,-7.59696974774509,-0.5893554960194383
2020-03-10,4.93963062815614,0.5841083107815412
2020-03-11,-4.886844513127389,-0.3356795568202306
2020-03-12,-9.51126809783365,-0.7685396258387052
2020-03-13,9.28712497297183,0.991046963282571
2020-03-16,-11.98405524039344,-1.0
2020-03-17,5.99548497440243,0.6829394789948346
2020-03-18,-5.18307627291578,-0.36340774772634366
2020-03-19,0.47078080405855,0.16581041746367572
2020-03-20,-4.33595123084619,-0.28411427526196675
2020-03-23,-2.92938678218044,-0.15245557809115762
2020-03-24,9.38277397622755,1.0
2020-03-25,1.15350114482219,0.22971511140231218
2020-03-26,6.24141633038768,0.7059593995915643
2020-03-27,-3.36873525622525,-0.19357992738890428
2020-03-30,3.35160094837001,0.4354639177659579
2020-03-31,-1.60127219145556,-0.028140025487614934
2020-04-01,-4.41424303316654,-0.29144262534391974
2020-04-02,2.28293472348715,0.33543351886600714
2020-04-03,-1.51371251249494,-0.019944174051454405
2020-04-06,7.03313186527505,0.780066374179212
2020-04-07,-0.16030527844311,0.10673884665608524
2020-04-08,3.40564528796303,0.4405226318170797
2020-04-09,1.44874101533765,0.2573504584650197
2020-04-13,-1.01046608226074,0.02716121768750618
2020-04-14,3.0572589146256,0.4079126109473079
2020-04-15,-2.2030438529415703,-0.08446767760530954
2020-04-16,0.58166894621645,0.176189883788201
2020-04-17,2.6793594848223403,0.37254007850723053
2020-04-20,-1.78810480340146,-0.04562812445183234
2020-04-21,-3.06747956940633,-0.16538148167992872
2020-04-22,2.29302477038437,0.3363779778491277
2020-04-23,-0.05394221197431,0.1166947521758487
2020-04-24,1.39180573045454,0.25202114316925084
2020-04-27,1.47140698047996,0.2594720615267111
2020-04-28,-0.52423806984989,0.07267363391748374
2020-04-29,2.6583916282167,0.3705774235533238
2020-04-30,-0.92124463039876,0.035512616105814854
2020-05-01,-2.8059034078492098,-0.1408971598458174
2020-05-04,0.4249827591976399,0.16152358160266886
2020-05-05,0.90405563857973,0.20636625568642342
2020-05-06,-0.69794103903862,0.05641450932508904
2020-05-07,1.15046307883139,0.2294307392140011
2020-05-08,1.68715386387019,0.2796666239676748
2020-05-11,0.01330782209116,0.12298955926993611
2020-05-12,-2.05003175288771,-0.07014528109971721
2020-05-13,-1.7462724604228,-0.04171249031121599
2020-05-14,1.15248226950355,0.22961974158320514
2020-05-15,0.39263632504382,0.1584958572898206
2020-05-18,3.15011916316807,0.41660461176792896
2020-05-19,-1.04843991944931,0.023606751388030117
2020-05-20,1.66511002590801,0.2776032538963652
2020-05-21,-0.77735964077371,0.048980687401402656
2020-05-22,0.23537113264884,0.1437753584455049
2020-05-26,1.22891840360801,0.23677439549366947
2020-05-27,1.48272972159138,0.26053190442587293
2020-05-28,-0.21079145460738,0.10201318749042884
2020-05-29,0.48123358249714,0.16678882921888916
2020-06-01,0.37512348135377,0.15685660202058982
2020-06-02,0.82108327800534,0.19859979116019913
2020-06-03,1.3648979133831,0.24950248990547982
2020-06-04,-0.33687022311144,0.09021183248114324
2020-06-05,2.62116508183987,0.3670929059396507
2020-06-08,1.20415794211692,0.23445674122311166
2020-06-09,-0.77991708226116,0.04874130312388332
2020-06-10,-0.53130910724373,0.07201176337767154
2020-06-11,-5.89440592744382,-0.42999036017823755
2020-06-12,1.3060843963234698,0.24399736638309216
2020-06-15,0.8312217041285199,0.1995487785855578
2020-06-16,1.89623981938025,0.2992377033627789
2020-06-17,-0.3600299556174,0.0880440112970862
2020-06-18,0.05942198825281,0.12730598504318827
2020-06-19,-0.56494948094629,0.06886292239977002
2020-06-22,0.64950955376916,0.18253997035134323
2020-06-23,0.43074195691641,0.1620626599713292
2020-06-24,-2.58551459390645,-0.12026809863056495
2020-06-25,1.09594472678098,0.22432765615963748
2020-06-26,-2.4226905044785902,-0.1050272701691102
2020-06-29,1.46856784331186,0.25920630967936714
2020-06-30,1.54098757315546,0.2659850159730708
2020-07-01,0.50221328208643,0.16875259271197407
2020-07-02,0.4541250844364,0.16425139160604463
2020-07-06,1.5881725867458798,0.2704016763125202
2020-07-07,-1.08185320281971,0.020479166753768305
2020-07-08,0.7827461915415499,0.195011323627172
2020-07-09,-0.56436061593611,0.06891804195019183
2020-07-10,1.04662012732443,0.21971072409578396
2020-07-13,-0.93625411277882,0.034107683045519296
2020-07-14,1.34063707826679,0.2472316021784943
2020-07-15,0.9082050740923,0.2067546554317017
2020-07-16,-0.34061012455366,0.08986176636657808
2020-07-17,0.28486121946174,0.14840778062767898
2020-07-20,0.84069387471426,0.2004354024724911
2020-07-21,0.16790373419135,0.13746020538526443
2020-07-22,0.5747082068739701,0.17553833748042547
2020-07-23,-1.2319859824193,0.0064262833729432645
2020-07-24,-0.61904000546884,0.06379988529920914
2020-07-27,0.73951387950395,0.19096464813786074
2020-07-28,-0.64733921522979,0.06115099346092587
2020-07-29,1.242838167815,0.23807732762888417
2020-07-30,-0.37502519373892,0.0866404115425793
2020-07-31,0.76705049901413,0.19354215921645912
2020-08-03,0.71810234393261,0.18896046348750706
2020-08-04,0.36119303819721,0.15555267030331624
2020-08-05,0.6429743053199399,0.18192825128128706
2020-08-06,0.64276955596642,0.18190908612098705
2020-08-07,0.06330295486443,0.1276692552853261
2020-08-10,0.2742218294476,0.14741190146317817
2020-08-11,-0.79691321542361,0.047150413526728774
2020-08-12,1.39965494902376,0.2527558538265639
2020-08-13,-0.2047174350497899,0.10258173413775873
2020-08-14,-0.0171882622768099,0.12013503330739907
2020-08-17,0.27098425110787,0.14710885431407553
2020-08-18,0.23033891540169,0.14330432765323037
2020-08-19,-0.4404395421410799,0.08051743019247098
2020-08-20,0.31586327691348,0.1513096672049933
2020-08-21,0.34411070444764,0.15395371206984265
2020-08-24,1.00437183030086,0.21575615539536996
2020-08-25,0.35963511532906,0.15540684399915522
2020-08-26,1.01956261394839,0.2171780588040155
2020-08-27,0.16730440109038,0.13740410598980488
2020-08-28,0.67325653552858,0.18476275984609403
2020-08-31,-0.2194962714028699,0.10119839024491911
2020-09-01,0.75250030166134,0.19218021662729182
2020-09-02,1.53659101548075,0.2655734848441291
2020-09-03,-3.51258437153412,-0.20704464073972484
2020-09-04,-0.8133027264274799,0.0456163056029269
2020-09-08,-2.77563421023609,-0.13806387117146662
2020-09-09,2.01449863367746,0.3103070869478003
2020-09-10,-1.75847965901794,-0.042855121112574585
2020-09-11,0.0533072190594,0.12673362410639064
2020-09-14,1.27418290893575,0.24101129043665231
2020-09-15,0.5219359577689,0.17059869495601954
2020-09-16,-0.46189465962115,0.0785091661433176
2020-09-17,-0.84123658764024,0.04300161149650977
2020-09-18,-1.11825818074104,0.017071550438567826
2020-09-21,-1.15710979308057,0.013434921723502524
2020-09-22,1.05179451608137,0.22019506257244614
2020-09-23,-2.3721455093028103,-0.10029610536563421
2020-09-24,0.2987459142957,0.14970743016324595
2020-09-25,1.59767237756141,0.2712908855367078
2020-09-28,1.61105901990838,0.27254391584937177
2020-09-29,-0.48126645432444,0.07669590742281256
